cenario,achados_sast,achados_analisados,cobertura_pct,verdadeiro_positivo,falso_positivo,inconclusivo,taxa_vp_pct,taxa_fp_pct,taxa_inconclusivo_pct,decisoes_objetivas,taxa_decisao_objetiva_pct,revisao_humana_obrigatoria,risco_medio,risco_mediano,risco_maximo
Codefolio,13,3,23.076923076923077,1,0,2,33.33333333333333,0.0,66.66666666666666,1,33.33333333333333,1,48.666666666666664,29.0,88.0
Juice Shop,43,36,83.72093023255815,27,6,3,75.0,16.666666666666664,8.333333333333332,33,91.66666666666666,27,75.5,89.5,100.0
